GBM-X ID	Affymetrix ID	Illumina Sample ID[1]	Illumina Sample ID[2]	Illumina Sample Name	Kinomics Sample Name	Kinomics Biological Replicate
GBM-X12P	10-12-1_(HuEx-1_0-st-v2).CEL	JX12	JX12	10--12	GBM ortho 12	GBM ortho 12-A
	10-12-2_(HuEx-1_0-st-v2).CEL				GBM ortho 12	GBM ortho 12-B
	10-12-3_(HuEx-1_0-st-v2).CEL				GBM ortho 12	GBM ortho 12-C
GBM-X12T	10-11-1_(HuEx-1_0-st-v2).CEL	JX12TMZ	JX12TMZ	10--11	GBM ortho 12TMZ	GBM ortho 12TMZ-A
	10-11-2_(HuEx-1_0-st-v2).CEL				GBM ortho 12TMZ	GBM ortho 12TMZ-B
	10-11-3_(HuEx-1_0-st-v2).CEL				GBM ortho 12TMZ	GBM ortho 12TMZ-C
GBM-X39P	10-19-1_(HuEx-1_0-st-v2).CEL	JX39P	JX39P	10--19	GBM ortho 39P	GBM ortho 39P-A
	10-19-2_(HuEx-1_0-st-v2).CEL				GBM ortho 39P	GBM ortho 39P-B
	10-19-3_(HuEx-1_0-st-v2).CEL				GBM ortho 39P	GBM ortho 39P-C
GBMX39T	10-15-1_(HuEx-1_0-st-v2).CEL	JX39TMZ	JX39TMZ	10--15	GBM ortho 39TMZ	GBM ortho 39TMZ-A
	10-15-2_(HuEx-1_0-st-v2).CEL				GBM ortho 39TMZ	GBM ortho 39TMZ-B
	10-15-3_(HuEx-1_0-st-v2).CEL				GBM ortho 39TMZ	GBM ortho 39TMZ-C
GBM-X14P	10-17-1_(HuEx-1_0-st-v2).CEL	14P P22	JX14	10--17	GBM ortho 14	GBM ortho 14-A
	10-17-2_(HuEx-1_0-st-v2).CEL				GBM ortho 14	GBM ortho 14-B
	10-17-3_(HuEx-1_0-st-v2).CEL				GBM ortho 14	GBM ortho 14-C
GBM-X14T	10-26-1_(HuEx-1_0-st-v2).CEL	JX14 TMZ	JX14TMZ	10--26	GBM ortho 14TMZ	GBM ortho 14TMZ-A
	10-26-2_(HuEx-1_0-st-v2).CEL				GBM ortho 14TMZ	GBM ortho 14TMZ-B
	10-26-3_(HuEx-1_0-st-v2).CEL				GBM ortho 14TMZ	GBM ortho 14TMZ-C
GBM-X22P	10-20-1_(HuEx-1_0-st-v2).CEL	JX22P	JX22P	10--20	GBM ortho 22P	GBM ortho 22P-A
	10-20-2_(HuEx-1_0-st-v2).CEL				GBM ortho 22P	GBM ortho 22P-B
	10-20-3_(HuEx-1_0-st-v2).CEL				GBM ortho 22P	GBM ortho 22P-C
GBM-X59T	10-23-1_(HuEx-1_0-st-v2).CEL	JX59TMZ	JX59TMZ	10--23	GBM ortho 59TMZ	GBM ortho 59TMZ-A
	10-23-2_(HuEx-1_0-st-v2).CEL				GBM ortho 59TMZ	GBM ortho 59TMZ-B
	10-23-3_(HuEx-1_0-st-v2).CEL				GBM ortho 59TMZ	GBM ortho 59TMZ-C
GBM-X1066	10-25-1_(HuEx-1_0-st-v2).CEL	X1066	X1066	10--25	GBM ortho X1066	GBM ortho X1066-A
	10-25-2_(HuEx-1_0-st-v2).CEL				GBM ortho X1066	GBM ortho X1066-B
	10-25-3_(HuEx-1_0-st-v2).CEL				GBM ortho X1066	GBM ortho X1066-C
					GBM ortho X1066	GBM ortho X1066-D
GBM-X1046	10-22-1_(HuEx-1_0-st-v2).CEL	X1046	X1046	10--22	GBM ortho X1046	GBM ortho X1046-A
	10-22-2_(HuEx-1_0-st-v2).CEL				GBM ortho X1046	GBM ortho X1046-B
	10-22-3_(HuEx-1_0-st-v2).CEL				GBM ortho X1046	GBM ortho X1046-C
GBM-X1016	10-29-1_(HuEx-1_0-st-v2).CEL	X1016	X1016	10--29	GBM ortho X1016	GBM ortho X1016-A
	10-29-2_(HuEx-1_0-st-v2).CEL				GBM ortho X1016	GBM ortho X1016-B
	10-29-3_(HuEx-1_0-st-v2).CEL				GBM ortho X1016	GBM ortho X1016-C
GBM-X1012	10-27-1_(HuEx-1_0-st-v2).CEL	X 1012	X1012	10--27	X1012	X1012-A
	10-27-2_(HuEx-1_0-st-v2).CEL				X1012	X1012-B
	10-27-3_(HuEx-1_0-st-v2).CEL				X1012	X1012-C
GBM-X1012	11-07-1_(HuEx-1_0-st-v2).CEL	X 1012	X1012	10--27	X1012	X1012-A
	11-07-2_(HuEx-1_0-st-v2).CEL				X1012	X1012-B
	11-07-3_(HuEx-1_0-st-v2).CEL				X1012	X1012-C
GBM-X22T	10-173-1_(HuEx-1_0-st-v2).CEL	JX22T	JX22T	10--32	GBM ortho 22T	GBM ortho 22T-A
	10-173-2_(HuEx-1_0-st-v2).CEL				GBM ortho 22T	GBM ortho 22T-B
	10-173-3_(HuEx-1_0-st-v2).CEL				GBM ortho 22T	GBM ortho 22T-C
GBM-X456	10-43-1_(HuEx-1_0-st-v2).CEL	XD 456	XD456	10--43	GBM ortho XD456	GBM ortho XD456-B
	10-43-2_(HuEx-1_0-st-v2).CEL				GBM ortho XD456	GBM ortho XD456-A
	10-43-3_(HuEx-1_0-st-v2).CEL				GBM ortho XD456	GBM ortho XD456-C
GBM-X456	11-06-1_(HuEx-1_0-st-v2).CEL	XD 546	XD456	10--43	GBM ortho XD456	GBM ortho XD456-B
	11-06-2_(HuEx-1_0-st-v2)_2.CEL				GBM ortho XD456	GBM ortho XD456-A
	11-06-3_(HuEx-1_0-st-v2).CEL				GBM ortho XD456	GBM ortho XD456-C
GBM-X59P	10-36-1_(HuEx-1_0-st-v2).CEL	JX 59 P	JX59P	10--36	GBM ortho 59P	GBM ortho 59P-A
	10-36-2_(HuEx-1_0-st-v2).CEL				GBM ortho 59P	GBM ortho 59P-B
	10-36-3_(HuEx-1_0-st-v2).CEL				GBM ortho 59P	GBM ortho 59P-C
GBM-X6	10-42-1_(HuEx-1_0-st-v2).CEL	JX 6	JX 6	10--42	GBM ortho 6	GBM ortho 6-A
	10-42-2_(HuEx-1_0-st-v2).CEL				GBM ortho 6	GBM ortho 6-B
	10-42-3_(HuEx-1_0-st-v2).CEL				GBM ortho 6	GBM ortho 6-C
GBM-X10	10-38-1_(HuEx-1_0-st-v2).CEL	JX 10	JX10	10--38	GBM ortho 10	GBM ortho 10-A
	10-38-2_(HuEx-1_0-st-v2).CEL				GBM ortho 10	GBM ortho 10-B
	10-38-3_(HuEx-1_0-st-v2).CEL				GBM ortho 10	GBM ortho 10-C
GBM-X15	10-41-1_(HuEx-1_0-st-v2).CEL	JX 15	JX 15	10--41	GBM ortho 15	GBM ortho 15-A
	10-41-2_(HuEx-1_0-st-v2).CEL				GBM ortho 15	GBM ortho 15-B
	10-41-3_(HuEx-1_0-st-v2).CEL				GBM ortho 15	GBM ortho 15-C
GBM-X1011	11-01-1_(HuEx-1_0-st-v2).CEL	X1011	X1011	11--01	X1011	X1011-A
	11-01-2_(HuEx-1_0-st-v2).CEL				X1011	X1011-B
	11-01-3_(HuEx-1_0-st-v2).CEL				X1011	X1011-C
GBM-X0948	11-05-1_(HuEx-1_0-st-v2).CEL	X0948	X0948	11--05	GBM ortho X0948	GBM ortho X0948-A
	11-05-2_(HuEx-1_0-st-v2).CEL				GBM ortho X0948	GBM ortho X0948-B
	11-05-3_(HuEx-1_0-st-v2).CEL				GBM ortho X0948	GBM ortho X0948-C
GBM-X1006	10-33-1_(HuEx-1_0-st-v2).CEL	X 1006	X1006	10--33	GBM ortho X1006	GBM ortho X1006-A
	10-33-2_(HuEx-1_0-st-v2).CEL				GBM ortho X1006	GBM ortho X1006-B
	10-33-3_(HuEx-1_0-st-v2).CEL				GBM ortho X1006	GBM ortho X1006-C
GBM-XBT39	11-11-1_(HuEx-1_0-st-v2).CEL	XBT39	XBT39	11--11	GBM ortho XBT39	GBM ortho XBT39-B
	11-11-2_(HuEx-1_0-st-v2).CEL				GBM ortho XBT39	GBM ortho XBT39-A
	11-11-3_(HuEx-1_0-st-v2).CEL				GBM ortho XBT39	GBM ortho XBT39-C
GBM-X2354	10-44-1_(HuEx-1_0-st-v2).CEL	HF 2354			XHF2354	XHF2354-A
	10-44-2_(HuEx-1_0-st-v2).CEL				XHF2354	XHF2354-B
	10-44-3_(HuEx-1_0-st-v2).CEL				XHF2354	XHF2354-C
GBM-X2303			HF2303	10--45	HF2303	HF2303-A
					HF2303	HF2303-B
					HF2303	HF2303-C
